checkpoint_interval,convnext_base_w.laion2b_s13b_b82k,convnext_base_w.laion2b_s13b_b82k_augreg,convnext_base_w.laion_aesthetic_s13b_b82k,convnext_base_w_320.laion_aesthetic_s13b_b82k,convnext_base_w_320.laion_aesthetic_s13b_b82k_augreg
1,0.05512,0.05378,0.0594,0.05648,0.0674
2,0.22738,0.22578,0.24266,0.21512,0.2531
3,0.38978,0.39898,0.42176,0.4214,0.42384
4,0.45562,0.45948,0.4809,0.48504,0.48274
5,0.48816,0.48166,0.51702,0.5262,0.52536
6,0.5073,0.52814,0.53766,0.5514,0.561
7,0.52574,0.5428,0.55582,0.55998,0.56758
8,0.54004,0.5503,0.555,0.57372,0.57734
9,0.54932,0.55874,0.57208,0.5758,0.5837
10,0.5491,0.55714,0.57514,0.5822,0.59092
11,0.5532,0.5651,0.58466,0.58804,0.59738
12,0.5558,0.5763,0.58604,0.5931,0.6024
13,0.56264,0.57464,0.58956,0.59314,0.60296
14,0.56482,0.57936,0.5859,0.59466,0.61004
15,0.57116,0.5891,0.59452,0.6008,0.6142
16,0.56902,0.58494,0.59878,0.59988,0.61834
17,0.57386,0.59204,0.60158,0.60644,0.61726
18,0.57622,0.59146,0.60356,0.60444,0.62062
19,0.58104,0.59744,0.5907,0.61808,0.61934
20,0.58124,0.5954,0.61332,0.608,0.62912
21,0.58972,0.58996,0.6062,0.62082,0.62876
22,0.5859,0.5966,0.61624,0.61986,0.6241
23,0.5919,0.60212,0.6133,0.57636,0.61648
24,0.58644,0.60662,0.61818,0.62028,0.63668
25,0.5975,0.60594,0.62018,0.62394,0.63566
26,0.5982,0.61474,0.62622,0.6258,0.63552
27,0.59684,0.61242,0.62334,0.62412,0.63922
28,0.60454,0.62022,0.62674,0.62872,0.6336
29,0.605,0.61558,0.63078,0.6266,0.6405
30,0.61194,0.62418,0.6324,0.63392,0.64664
31,0.61234,0.62494,0.63832,0.63302,0.64482
32,0.61294,0.62782,0.63764,0.6365,0.64844
33,0.61828,0.62984,0.638,0.64412,0.6487
34,0.62116,0.63236,0.6392,0.64236,0.6429
35,0.62524,0.63308,0.64112,0.64512,0.65752
36,0.62926,0.63574,0.64302,0.64794,0.65732
37,0.62698,0.6382,0.64618,0.65252,0.6572
38,0.62944,0.64014,0.64656,0.65602,0.65858
39,0.63032,0.64858,0.64924,0.66212,0.6653
40,0.64116,0.6458,0.65918,0.65572,0.66004
41,0.6437,0.6481,0.6553,0.65914,0.66534
42,0.6422,0.6522,0.65718,0.66328,0.67002
43,0.64762,0.6572,0.65764,0.66436,0.67606
44,0.6511,0.66018,0.66362,0.66718,0.67424
45,0.65334,0.66112,0.6681,0.6749,0.67866
46,0.65466,0.66688,0.67554,0.6773,0.67928
47,0.66224,0.67082,0.67494,0.67852,0.67788
48,0.66634,0.67724,0.67856,0.68378,0.68332
49,0.66686,0.67688,0.68204,0.68734,0.68716
50,0.67294,0.67998,0.68412,0.6889,0.68996
51,0.67472,0.68686,0.68436,0.6909,0.69664
52,0.67796,0.6884,0.68948,0.69642,0.69212
53,0.68158,0.69118,0.69374,0.7005,0.69746
54,0.68752,0.6944,0.69522,0.69876,0.70054
55,0.69162,0.69786,0.69668,0.70428,0.70392
56,0.6927,0.70418,0.69998,0.70624,0.70358
57,0.69866,0.7041,0.70022,0.70896,0.70752
58,0.70004,0.70718,0.70486,0.71178,0.70828
59,0.70276,0.70842,0.70692,0.71252,0.7096
60,0.70486,0.71212,0.70762,0.71412,0.71116
61,0.70548,0.71356,0.7076,0.7163,0.7113
62,0.70696,0.71372,0.70978,0.71622,0.71258
63,0.70764,0.71464,0.71044,0.7168,0.71286
64,0.70782,0.71476,0.70996,0.7168,0.7125